total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
455659.9,2020M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
10886.4,2018M10,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,DUTCH VALLEY SUPPLY CO.,DEFENSE LOGISTICS AGENCY
126.73,2017M01,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"HERNDON PRODUCTS, LLC",DEFENSE LOGISTICS AGENCY
18833.67,2021M05,MAINT/REPAIR/REBUILD OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,HOFFMAN INTERNATIONAL INC,DEPT OF THE AIR FORCE
581.0,2017M11,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
843468.65,2021M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY
3824.6,2020M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
17160.0,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,US MILITARY CORP,DEPT OF THE ARMY
4549.05,2019M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
91800.0,2020M09,INFORMATION TECHNOLOGY SOFTWARE,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,CGG SERVICES (U.S.) INC.,BUREAU OF OCEAN ENERGY MANAGEMENT
12747.2,2017M09,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"GENERAL DYNAMICS-OTS, INC.",DEFENSE LOGISTICS AGENCY
53377.8,2018M01,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
385468.0,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CROWLEY HOLDINGS, LLC",U.S. FISH AND WILDLIFE SERVICE
11123.0,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
5591.04,2020M08,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
70980.0,2016M09,REPAIR OR ALTERATION OF OFFICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,VAN SLOTEN ENTERPRISES INC,DEPT OF THE ARMY
32739.64,2018M04,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELANEOS SECURITY SERVICES SOCIEDAD ANONIMA,"STATE, DEPARTMENT OF"
6750.0,2017M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"BONIFACE TOOL & DIE, INC.",DEFENSE LOGISTICS AGENCY
6856.74,2017M05,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
15571.39,2019M08,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
9310.0,2016M05,CONSTRUCTION OF OFFICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
4470.4,2016M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"THOSANI, RAJ",DEFENSE LOGISTICS AGENCY
9460.0,2021M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
2007500.0,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"NORTHWEST ROCK, INC.",DEPT OF THE ARMY
24674.25,2020M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,TWO-J RANCH INC,U.S. FISH AND WILDLIFE SERVICE
20000.0,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
3980.0,2020M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"NATIONAL ORDNANCE AUTOMOTIVE MANUFACTURING, L.L.C.",DEFENSE LOGISTICS AGENCY
7987.41,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"SHELLY COMPANY, THE",U.S. FISH AND WILDLIFE SERVICE
52136.45,2019M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
425.0,2020M09,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,PHOENIX TRADING INC.,DEFENSE LOGISTICS AGENCY
30978.35,2020M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"RED FLINT GROUP, LLC",NATIONAL PARK SERVICE
12000.0,2018M04,MISCELLANEOUS CONSTRUCTION MATERIALS,DIMENSION STONE MINING AND QUARRYING,WESLIN LLC,NATIONAL PARK SERVICE
98.0,2020M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
144665.0,2017M09,"MINERALS, NATURAL AND SYNTHETIC",ALL OTHER METAL ORE MINING,"G.E. CHAPLIN, INC",DEFENSE LOGISTICS AGENCY
180970.0,2018M12,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"TARPAN CONSTRUCTION, LLC",DEPT OF THE ARMY
1465.11,2016M04,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"GERHARDT GEAR CO., INC.",DEFENSE LOGISTICS AGENCY
4564.75,2017M12,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,DAMON PURSELL CONSTRUCTION COMPANY,DEPT OF THE ARMY
0.0,2016M04,NATURAL RESOURCES/CONSERVATION- OTHER,CONSTRUCTION SAND AND GRAVEL MINING,"GOLAT & ENGEL CUSTOM GRAVEL CRUSHING, INC.",FOREST SERVICE
6301.64,2017M03,CONSTRUCTION OF PARKING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1673.0,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
35913.44,2019M07,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
881.1,2016M03,BOLTS,ALL OTHER NONMETALLIC MINERAL MINING,"GIGA, INC.",U.S. COAST GUARD
4700.0,2019M10,INSPECTION- MISCELLANEOUS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"BILLY PAPE PLUMBING, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
393.19,2021M06,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
40500.0,2016M09,MISCELLANEOUS FABRICATED NONMETALLIC MATERIALS,CLAY AND CERAMIC AND REFRACTORY MINERALS MINING,"COORSTEK VISTA, INC.",DEPT OF THE ARMY
17364.21,2016M09,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"BRIMHALL SAND, ROCK & BUILDING MATERIALS",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
234000.0,2019M07,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"PRUHS CONSTRUCTION CO., L.L.C.",NATIONAL PARK SERVICE
3750.0,2016M11,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,CINDERLITE TRUCKING CORPORATION,FOREST SERVICE
25333.0,2020M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"SIPSAS EXCAVATING, LLC",U.S. FISH AND WILDLIFE SERVICE
217274.3,2020M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
189258.31,2019M03,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
9114.36,2021M06,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2018M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,FOREST SERVICE
2730.0,2017M08,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
33979.05,2021M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"PAULSEN, INC.",U.S. FISH AND WILDLIFE SERVICE
26407.5,2019M08,MAINTENANCE OF CANALS,CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
0.0,2019M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,SOUTHERN FS INC.,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
363000.0,2021M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
13769.16,2017M06,"MINERALS, NATURAL AND SYNTHETIC",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,SALEM STONE CORPORATION,FOREST SERVICE
0.0,2019M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"AMES 1 , LLC",DEPT OF THE AIR FORCE
0.0,2018M12,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
80993.47,2019M05,UTILITIES- GAS,NATURAL GAS EXTRACTION,BP ENERGY COMPANY,"VETERANS AFFAIRS, DEPARTMENT OF"
27411.16,2018M06,MAINTENANCE OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
26028.1,2017M02,ORES,BITUMINOUS COAL AND LIGNITE SURFACE MINING,"PENN KEYSTONE COAL COMPANY, LLC",NATIONAL PARK SERVICE
105525.92,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
0.0,2017M09,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY
26632.16,2019M09,CHEMICALS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,GOVERNMENT MLO SUPPLIES USA INC,NATIONAL PARK SERVICE
0.0,2017M09,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
2703.24,2017M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
17750.88,2018M12,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
4995.0,2016M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,MODULATED METALS INC,DEFENSE LOGISTICS AGENCY
37230.82,2020M04,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2021M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"LANZEN, INCORPORATED",DEFENSE LOGISTICS AGENCY
92731.86,2019M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BAYER CONSTRUCTION COMPANY, INC.",DEPT OF THE ARMY
50718.31,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MOUNTAIN MATERIALS, INC",FOREST SERVICE
16204.0,2016M11,LEASE OR RENTAL OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,DRILLING OIL AND GAS WELLS,INTERSTATE DRILLING SERVICES LLP,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
0.0,2018M08,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
2308.79,2021M06,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
907.32,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
1750.0,2018M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"GREENE METAL PRODUCTS, INC.",DEFENSE LOGISTICS AGENCY
8545.5,2020M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
1062.24,2019M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
83508.31,2016M04,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
0.0,2020M09,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,HERMAN'S TRUCKING INC,DEPT OF THE AIR FORCE
13950.0,2016M05,SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
67956.26,2019M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,BSE PERFORMANCE LLC,BUREAU OF LAND MANAGEMENT
5437755.0,2019M06,ORES,ALL OTHER METAL ORE MINING,"GLOBAL ADVANCED METALS USA, INC.",DEFENSE LOGISTICS AGENCY
72679.55,2020M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
0.0,2018M03,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
815778.5,2018M09,OPERATION OF OTHER NON-BUILDING FACILITIES,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"GOODFELLOW BROS., INC.",DEPT OF THE ARMY
14022.84,2020M11,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
81328.07,2021M02,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER NON-BUILDING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
3125.25,2018M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"DMB LOGISTICS, INC.",DEFENSE LOGISTICS AGENCY
43063.83,2018M09,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,"N. R. HAMM QUARRY, INC.",DEPT OF THE ARMY
11183.0,2021M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
10043.78,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
0.0,2018M07,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
423960.89,2019M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY
161800.0,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
13604.5,2019M08,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,DEFENSE GOVERNMENT CONTRACTING INTERNATIONAL CORPORATION,DEPT OF THE ARMY
24623.24,2016M02,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
25077.39,2018M08,UTILITIES- GAS,NATURAL GAS EXTRACTION,"AMERESCO SELECT, INC.",DEPT OF THE ARMY
19950.0,2018M09,CHEMICALS,CONSTRUCTION SAND AND GRAVEL MINING,"GALLO CONSTRUCTION CO, INC.",U.S. COAST GUARD
1695250.0,2018M01,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY
0.0,2016M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"SPECIALIZED GOVERNMENT SOURCING, INC.",U.S. FISH AND WILDLIFE SERVICE
1857.06,2020M03,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
50000.0,2020M05,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
318421.35,2019M10,UTILITIES- GAS,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF"
0.0,2016M08,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
1195.6,2019M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"ALAMO AIRCRAFT, LTD.",DEFENSE LOGISTICS AGENCY
4911.4,2019M09,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"J.G.B. ENTERPRISES, INC.",DEFENSE LOGISTICS AGENCY
4617.0,2020M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DALLAS TEXAS TOOL AND DIE, INC.",DEFENSE LOGISTICS AGENCY
337.5,2018M05,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
0.0,2019M01,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MODERN INDUSTRY INC,DEPT OF THE ARMY
13700.0,2020M03,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,SPENCER QUARRIES INC,"ENERGY, DEPARTMENT OF"
59895.0,2020M01,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"STRUCTURAL HARDWARE AND SUPPLY, INC.",U.S. FISH AND WILDLIFE SERVICE
0.0,2020M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
243875.5,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"SPECIALIZED GOVERNMENT SOURCING, INC.",NATIONAL PARK SERVICE
11239.0,2017M11,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
4154.19,2016M12,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
20234.14,2019M01,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,TAHZIB ENGINEERING SERVICES,"STATE, DEPARTMENT OF"
1681.0,2017M10,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
35112.0,2018M01,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,DEPT OF THE ARMY
28932.96,2020M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
9835.06,2016M09,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
28764.0,2018M01,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"SPECTRUM PETROGRAPHICS, INC.",US GEOLOGICAL SURVEY
200800.0,2021M05,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"LEGACY VULCAN, LLC",DEPT OF THE ARMY
480.0,2016M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"HERNDON PRODUCTS, LLC",DEFENSE LOGISTICS AGENCY
106030.51,2018M05,"MINERALS, NATURAL AND SYNTHETIC",CONSTRUCTION SAND AND GRAVEL MINING,"TOOU DEVELOPMENT CO., LTD.",DEPT OF THE ARMY
494480.0,2016M05,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,CONSTRUCTION SAND AND GRAVEL MINING,NORTH STAR PAVING & CONSTRUCTION INC,U.S. FISH AND WILDLIFE SERVICE
498.0,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
98.0,2019M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
23241.55,2019M12,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2018M01,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"WKF (FRIEDMAN) ENTERPRISES, INC.",DEFENSE LOGISTICS AGENCY
4647.54,2019M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
38746.85,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"L. L. CARTER & SON, INC.",DEPT OF THE ARMY
19995.0,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CHOCTAW TRANSPORTATION COMPANY, INC.",U.S. FISH AND WILDLIFE SERVICE
9111.0,2017M11,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
